Species,x,y,bio1_1,bio4_1,bio5_1,bio6_1,bio7_1,bio12_1,bio15_1,bio17_1,taxon,group,complex,dispStage,selfOut,dispersion,trophicLevel,maxSize
Microtus richardsoniE,-117.5667,46.2008,27,6785,224,-112,336,749,37,93,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.3669,45.2558,15,7151,222,-139,361,664,33,93,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.3669,45.2558,15,7151,222,-139,361,664,33,93,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.3669,45.2558,15,7151,222,-139,361,664,33,93,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.3669,45.2558,15,7151,222,-139,361,664,33,93,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.3669,45.2558,15,7151,222,-139,361,664,33,93,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.3669,45.2558,15,7151,222,-139,361,664,33,93,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.3669,45.2558,15,7151,222,-139,361,664,33,93,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.3625,46.1178,33,6828,233,-109,342,704,34,94,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.3625,46.1178,33,6828,233,-109,342,704,34,94,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.3625,46.1178,33,6828,233,-109,342,704,34,94,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.3625,46.1178,33,6828,233,-109,342,704,34,94,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.3625,46.1178,33,6828,233,-109,342,704,34,94,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.3625,46.1178,33,6828,233,-109,342,704,34,94,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.1917,45.0518,0,7077,206,-154,360,724,34,101,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-117.0325,45.1642,28,7436,242,-131,373,604,31,87,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-116.8483,48.4797,64,7775,270,-80,350,786,40,103,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-116.8233,44.7674,22,7604,239,-141,380,645,36,85,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-116.57,45.13,10,7260,222,-149,371,727,32,102,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-116.57,45.13,10,7260,222,-149,371,727,32,102,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-116.57,45.13,10,7260,222,-149,371,727,32,102,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-116.57,45.13,10,7260,222,-149,371,727,32,102,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-116.57,45.13,10,7260,222,-149,371,727,32,102,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-116.57,45.13,10,7260,222,-149,371,727,32,102,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-116.57,45.13,10,7260,222,-149,371,727,32,102,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-116.5484,45.1878,5,7184,216,-154,370,748,32,105,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-116.5484,45.1878,5,7184,216,-154,370,748,32,105,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-116.54,45.18,14,7268,226,-145,371,720,32,101,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-116.54,45.18,14,7268,226,-145,371,720,32,101,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-116.54,45.18,14,7268,226,-145,371,720,32,101,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-116.54,45.18,14,7268,226,-145,371,720,32,101,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-116.54,45.18,14,7268,226,-145,371,720,32,101,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
Microtus richardsoniE,-116.54,45.18,14,7268,226,-145,371,720,32,101,Mammal,NC,Microtus.richardsoni,juvenile,outcrosser,self,herbivore,25
