Species,x,y,bio1_1,bio4_1,bio5_1,bio6_1,bio7_1,bio12_1,bio15_1,bio17_1,taxon,dispStage,selfOut,dispersion,trophicLevel,maxSize
Alnus rubra,-124.4961,42.7458,113,2836,207,35,172,1894,69,90,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.8217,42.3716,96,4908,261,65528,269,1459,76,52,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.15,49.21667,98,5169,223,65535,224,1246,52,127,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.8509898,49.21638216,98,5299,230,65529,237,1414,51,146,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.0703,44.5206,107,3013,195,33,162,1993,64,127,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.6448,42.9934,93,4815,254,65528,262,1346,72,58,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.6038,46.98174,102,4447,231,9,222,2123,61,148,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.2828,40.639,116,2071,185,50,135,1293,78,32,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.2649,44.5565,111,5120,273,9,264,1108,68,64,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.0291,42.2971,103,4229,246,7,239,1761,75,61,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.1257,41.163,111,2576,199,35,164,1460,73,48,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.88333,49.23333,98,5278,229,65530,235,1421,52,145,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.9,49.23333,98,5278,229,65530,235,1421,52,145,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.1,49.23333,98,5191,224,65534,226,1276,52,130,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.0009887,48.99971063,99,4625,222,7,215,1010,50,109,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.11667,49.23333,98,5191,224,65534,226,1276,52,130,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.9926,40.8768,114,3436,226,27,199,1348,76,39,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-121.9633597,37.15455891,135,4013,272,29,243,929,90,10,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.2027,41.7623,117,2506,199,42,157,1836,70,72,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.0339,44.9431,113,5241,277,7,270,1038,64,66,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.0892,45.5311,71,5247,220,65509,247,2504,63,161,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.1647,40.7899,116,2334,190,47,143,1129,75,32,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-121.9119,36.5184,128,2101,213,47,166,591,93,5,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-124.1643,40.803,117,2246,189,50,139,1085,75,33,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.21056,48.67472,97,4266,212,15,197,806,57,77,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.7266,45.5304,105,5201,257,1,256,1311,59,105,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.803622,39.42425558,112,2506,206,34,172,1034,79,21,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.9214,45.9933,106,3301,202,24,178,2035,59,154,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-123.8071321,39.43083542,112,2506,206,34,172,1034,79,21,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-121.8064,36.2703,125,2258,220,40,180,860,91,6,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.2287,37.8721,141,3393,244,50,194,678,87,8,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.5446725,37.90594731,137,3121,231,49,182,962,89,13,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.2329,37.8827,141,3690,252,47,205,715,87,9,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.7084,45.5407,105,5201,257,1,256,1311,59,105,Plant,embryo,outcrosser,wind,primary,25000
Alnus rubra,-122.5542,45.4612,115,5347,267,10,257,1193,56,101,Plant,embryo,outcrosser,wind,primary,25000
